https://lt.admininfo.info/entendiendo-ajax-con-jquery,"nenaudinga"
https://api.jquery.com/jquery.ajax/,"dokumentacija"
https://api.jquery.com/category/ajax/,"dokumentacija"
https://www.sitepoint.com/use-jquerys-ajax-function/,"geriausia ir aiškiausia, tik labai apsisnargliuoja reklamom"
https://postit.lt/example/2-formos-automatinis-uzpildymas/,"įdomus pavyzdys"
http://blog.mysql.lt/jquery-nuosavas-lango-iskiepis.html,"nesusijęs, bet naudingas reikalas"
https://www.tutorialsteacher.com/jquery/jquery-ajax-method,"geriausia ir aiškiausia 2"
https://www.w3schools.com/jquery/ajax_ajax.asp,"irgi normalus"
https://www.slideserve.com/tavi/javascript-jquery,"Linui apie jquery"
https://www.studijuok.lt/pamokos/javascript/kodel-naudoti-jquery-biblioteka-2856.htm,"Linui apie jquery"
https://webdesignerwall.com/demo/jquery/,"jquery galimybės visiems"
https://lt.wikipedia.org/wiki/XML,"XML"
https://klevas.mif.vu.lt/~margaritak/DinInternetas/AjaxIvadas.pdf,"apie AJAX grynai tik su Javascript"
https://www.700.lt/kelione/ldk-pilys-baltarusijoje,"Informacija"